dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,0,     651.342372
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,1,     632.921816
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,2,     638.283721
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,3,     633.924907
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,4,     630.380749
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,5,     631.685166
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,6,     636.279096
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,7,     632.863189
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,8,     631.816089
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,9,     633.986746
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,10,     633.760018
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,11,     633.740149
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,12,     633.835143
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,13,     642.035843
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,14,     633.564330
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,15,     637.566293
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,16,     637.718535
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,17,     635.585348
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,18,     633.440645
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,19,     637.733584
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,20,     638.760136
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,21,     634.697370
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,22,     636.686734
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,23,     636.078368
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,24,     632.040658
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,25,     633.364217
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,26,     636.963259
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,27,     638.280789
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,28,     632.915700
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,512,29,     632.560612
