dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,0,    1024.689448
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,1,     995.258299
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,2,     997.906069
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,3,     996.191066
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,4,     998.509499
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,5,     997.895237
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,6,     997.285024
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,7,     994.736351
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,8,     998.921668
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,9,     997.423393
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,10,    1000.736587
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,11,     990.904122
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,12,    1001.337806
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,13,     998.443507
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,14,    1000.964581
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,15,     998.736978
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,16,     998.238475
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,17,    1004.429641
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,18,    1005.193203
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,19,     998.734495
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,20,     994.153146
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,21,    1002.255863
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,22,     997.450223
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,23,    1003.463711
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,24,     999.022586
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,25,    1001.375639
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,26,    1001.842131
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,27,    1002.280806
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,28,     995.417773
3,double,uniform,PoisFFT,"P | P | P | P | D | N",16,512,29,    1001.311767
