dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,0,   11144.266300
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,1,   11155.959075
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,2,   11119.539501
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,3,   11129.956532
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,4,   11139.863196
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,5,   11150.340465
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,6,   11130.912729
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,7,   11148.628471
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,8,   11139.415447
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,9,   11136.341230
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,10,   11129.151976
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,11,   11130.903125
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,12,   11141.193000
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,13,   11146.606471
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,14,   11140.656929
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,15,   11126.598112
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,16,   11135.348224
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,17,   11116.799889
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,18,   11136.394826
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,19,   11120.717138
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,20,   11135.123404
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,21,   11129.664919
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,22,   11134.341746
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,23,   11149.060466
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,24,   11118.382569
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,25,   11127.557432
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,26,   11119.203721
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,27,   11116.017818
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,28,   11124.860660
3,double,uniform,PoisFFT,"P | P | P | P | P | P",2,512,29,   11129.037467
