dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,0,    1027.550895
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,1,     995.986771
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,2,     994.121633
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,3,     993.711089
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,4,     989.474319
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,5,     992.334417
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,6,     995.283537
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,7,     994.462083
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,8,     995.154304
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,9,     996.566455
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,10,     993.364394
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,11,     994.855210
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,12,     995.063695
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,13,     996.345656
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,14,     993.534858
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,15,     992.598622
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,16,     994.977067
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,17,     992.036827
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,18,     993.048635
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,19,     990.527414
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,20,     995.742890
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,21,     995.183843
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,22,     995.475679
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,23,     995.457891
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,24,     995.137256
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,25,     996.133115
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,26,     991.626883
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,27,     994.051023
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,28,     995.542522
3,double,uniform,PoisFFT,"P | P | P | P | N | D",16,512,29,     994.313002
