dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,0,     635.065316
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,1,     632.625722
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,2,     635.367651
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,3,     627.302801
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,4,     628.054007
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,5,     626.662995
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,6,     633.346402
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,7,     631.661312
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,8,     630.232845
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,9,     629.495664
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,10,     637.854737
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,11,     635.757097
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,12,     635.176397
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,13,     631.059984
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,14,     636.438312
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,15,     636.284916
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,16,     635.114885
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,17,     632.944992
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,18,     628.843840
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,19,     629.168711
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,20,     634.934889
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,21,     638.690163
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,22,     634.327160
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,23,     635.952017
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,24,     635.920514
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,25,     630.761611
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,26,     633.468211
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,27,     634.406204
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,28,     638.512949
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,512,29,     628.667582
