dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,0,   11593.896772
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,1,   11607.158436
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,2,   11606.245995
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,3,   11601.198912
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,4,   11617.182670
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,5,   11607.204012
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,6,   11598.540719
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,7,   11598.136551
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,8,   11601.136948
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,9,   11607.460496
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,10,   11596.628577
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,11,   11600.199412
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,12,   11606.094044
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,13,   11597.050465
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,14,   11597.715599
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,15,   11603.335590
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,16,   11602.383799
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,17,   11595.957764
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,18,   11601.629385
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,19,   11607.127552
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,20,   11597.892954
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,21,   11599.627283
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,22,   11597.076930
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,23,   11602.347250
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,24,   11602.559803
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,25,   11609.937280
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,26,   11598.653582
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,27,   11599.499362
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,28,   11599.120594
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,512,29,   11598.657569
