dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,0,    1379.717378
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,1,    1370.294428
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,2,    1373.766675
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,3,    1371.990654
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,4,    1369.676830
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,5,    1373.797585
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,6,    1370.805913
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,7,    1372.999712
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,8,    1371.258239
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,9,    1372.782927
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,10,    1372.143071
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,11,    1373.814468
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,12,    1374.615825
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,13,    1372.877227
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,14,    1373.400658
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,15,    1372.532271
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,16,    1372.565941
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,17,    1369.984445
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,18,    1372.547841
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,19,    1375.719380
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,20,    1372.365414
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,21,    1375.414162
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,22,    1371.335799
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,23,    1370.348802
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,24,    1372.156108
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,25,    1371.592152
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,26,    1374.531197
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,27,    1369.933789
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,28,    1372.076892
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,29,    1370.977721
