dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,0,    4706.887471
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,1,    4628.219450
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,2,    4612.252451
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,3,    4613.797629
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,4,    4608.866914
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,5,    4602.271498
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,6,    4603.402735
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,7,    4602.950976
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,8,    4601.461372
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,9,    4602.259174
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,10,    4601.022625
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,11,    4602.864923
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,12,    4603.890690
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,13,    4603.923409
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,14,    4600.164405
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,15,    4602.064686
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,16,    4601.907113
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,17,    4602.411603
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,18,    4602.984770
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,19,    4600.112733
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,20,    4602.516345
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,21,    4601.418794
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,22,    4600.539880
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,23,    4604.002293
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,24,    4607.720423
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,25,    4605.319862
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,26,    4608.372019
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,27,    4607.421859
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,28,    4605.510584
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,512,29,    4606.330299
