dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,0,   11340.167354
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,1,   11348.433912
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,2,   11346.657571
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,3,   11353.621122
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,4,   11345.888298
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,5,   11340.919252
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,6,   11343.587676
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,7,   11344.610953
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,8,   11345.453594
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,9,   11348.457448
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,10,   11348.216124
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,11,   11341.068636
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,12,   11341.743170
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,13,   11346.449117
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,14,   11345.927003
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,15,   11347.260759
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,16,   11343.310807
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,17,   11344.805726
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,18,   11346.042627
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,19,   11341.071340
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,20,   11349.151429
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,21,   11341.340542
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,22,   11342.611408
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,23,   11344.390706
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,24,   11349.096557
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,25,   11347.574174
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,26,   11341.382784
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,27,   11341.152810
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,28,   11338.086941
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,29,   11345.419582
