dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,0,    1220.170953
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,1,    1286.281441
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,2,    1276.266291
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,3,    1369.997460
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,4,    1334.900217
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,5,    1354.782727
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,6,    1341.146691
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,7,    1239.524019
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,8,    1358.442392
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,9,    1199.626715
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,10,    1201.192698
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,11,    1328.984168
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,12,    1304.836785
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,13,    1336.854213
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,14,    1216.494190
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,15,    1304.184526
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,16,    1221.741166
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,17,    1270.886155
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,18,    1314.624339
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,19,    1200.643888
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,20,    1338.080878
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,21,    1247.824233
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,22,    1296.730937
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,23,    1333.939788
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,24,    1418.674171
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,25,    1374.317947
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,26,    1422.617532
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,27,    1345.783745
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,28,    1323.861872
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,512,29,    1194.030506
