dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,0,     694.259411
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,1,     713.225077
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,2,     700.398330
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,3,     732.875382
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,4,     779.408729
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,5,     707.330873
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,6,     771.497594
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,7,     727.732436
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,8,     726.705257
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,9,     718.728412
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,10,     721.103783
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,11,     727.468623
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,12,     726.136508
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,13,     724.119435
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,14,     724.626010
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,15,     725.878670
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,16,     725.386124
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,17,     727.647288
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,18,     711.071470
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,19,     623.737944
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,20,     628.229914
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,21,     624.063194
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,22,     618.405387
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,23,     620.013242
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,24,     621.284548
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,25,     620.235448
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,26,     620.399755
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,27,     621.813078
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,28,     629.250921
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,29,     628.622693
