dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,0,    6524.976436
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,1,    6236.724396
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,2,    6240.277072
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,3,    6234.706780
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,4,    6247.198998
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,5,    6237.214922
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,6,    6233.960417
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,7,    6240.231682
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,8,    6236.106056
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,9,    6242.358131
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,10,    6282.086267
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,11,    6285.354959
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,12,    6242.493544
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,13,    6253.566003
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,14,    6241.871739
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,15,    6273.505009
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,16,    6311.084753
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,17,    6293.205593
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,18,    6285.031122
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,19,    6245.478582
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,20,    6253.061784
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,21,    6296.759181
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,22,    6283.866023
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,23,    6264.983455
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,24,    6245.415399
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,25,    6297.758872
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,26,    6263.242707
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,27,    6255.581274
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,28,    6259.806545
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,512,29,    6254.575051
