dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,0,    2289.581626
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,1,    2235.669726
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,2,    2224.105835
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,3,    2219.888847
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,4,    2217.740770
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,5,    2222.545080
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,6,    2217.229123
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,7,    2221.452112
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,8,    2217.618257
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,9,    2223.132846
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,10,    2215.331905
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,11,    2220.602723
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,12,    2225.517871
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,13,    2215.217689
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,14,    2222.612406
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,15,    2220.221171
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,16,    2216.329165
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,17,    2220.013791
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,18,    2224.543260
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,19,    2219.565067
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,20,    2222.738849
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,21,    2212.999168
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,22,    2217.421226
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,23,    2214.626357
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,24,    2218.665361
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,25,    2221.505810
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,26,    2213.322778
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,27,    2217.499052
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,28,    2220.495761
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,512,29,    2215.053178
