dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,0,    2950.868998
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,1,    2948.609514
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,2,    2948.394650
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,3,    2947.187648
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,4,    2949.038392
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,5,    2943.123207
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,6,    2939.884077
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,7,    2939.832809
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,8,    2947.044649
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,9,    2943.433455
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,10,    2945.022166
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,11,    2947.025943
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,12,    2947.161806
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,13,    2947.454606
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,14,    2947.852238
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,15,    2947.146348
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,16,    2948.224059
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,17,    2946.379829
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,18,    2946.857174
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,19,    2946.692797
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,20,    2944.245929
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,21,    2947.441519
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,22,    2943.243424
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,23,    2943.616742
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,24,    2943.802853
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,25,    2942.198670
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,26,    2942.940826
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,27,    2946.655963
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,28,    2947.033670
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,512,29,    2946.836921
