dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,0,   11385.340213
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,1,   11383.214625
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,2,   11379.142396
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,3,   11379.825258
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,4,   11382.419702
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,5,   11378.966049
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,6,   11381.283923
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,7,   11378.968717
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,8,   11379.475372
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,9,   11379.309737
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,10,   11377.580804
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,11,   11378.033761
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,12,   11381.989999
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,13,   11379.462571
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,14,   11380.520356
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,15,   11381.960709
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,16,   11379.926071
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,17,   11380.312497
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,18,   11380.063421
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,19,   11376.825842
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,20,   11377.738823
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,21,   11376.937563
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,22,   11377.064834
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,23,   11377.289409
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,24,   11379.739685
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,25,   11376.615600
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,26,   11376.063805
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,27,   11378.809599
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,28,   11378.900360
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,512,29,   11375.505347
