dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,0,     644.703202
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,1,     631.066449
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,2,     633.763222
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,3,     630.567648
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,4,     628.681843
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,5,     624.509327
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,6,     634.013165
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,7,     628.728633
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,8,     628.934535
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,9,     629.559653
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,10,     631.562638
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,11,     631.171796
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,12,     628.181293
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,13,     631.852326
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,14,     628.464322
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,15,     627.489383
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,16,     624.971347
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,17,     623.741858
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,18,     626.074281
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,19,     626.945723
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,20,     626.653899
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,21,     627.299071
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,22,     627.413321
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,23,     627.643019
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,24,     628.674942
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,25,     628.276064
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,26,     623.817391
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,27,     628.894111
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,28,     627.709301
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,512,29,     630.050716
