dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,0,    2052.191275
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,1,    2053.488900
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,2,    2051.004488
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,3,    2053.551579
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,4,    2055.891349
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,5,    2054.705587
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,6,    2053.976914
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,7,    2053.518225
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,8,    2052.750291
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,9,    2054.401844
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,10,    2051.532636
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,11,    2051.743973
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,12,    2053.593238
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,13,    2055.760483
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,14,    2052.021503
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,15,    2051.274518
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,16,    2051.817264
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,17,    2050.580998
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,18,    2049.843042
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,19,    2053.946750
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,20,    2052.045993
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,21,    2051.072884
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,22,    2052.161435
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,23,    2050.274592
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,24,    2050.116987
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,25,    2050.238097
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,26,    2049.004002
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,27,    2053.720985
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,28,    2053.120637
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,29,    2050.634804
