dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,0,    1016.194308
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,1,    1008.969068
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,2,    1007.477854
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,3,    1000.069848
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,4,    1006.059870
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,5,    1006.160183
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,6,     998.468896
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,7,    1001.479729
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,8,    1002.569553
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,9,    1004.454887
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,10,     999.577407
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,11,     996.650351
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,12,     997.251030
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,13,     996.988513
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,14,     997.612950
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,15,     999.938794
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,16,     998.735131
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,17,    1001.654168
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,18,     996.497515
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,19,     995.730004
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,20,    1000.237609
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,21,     998.788744
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,22,     998.456201
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,23,     999.799455
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,24,     997.863172
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,25,     993.753351
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,26,    1001.168689
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,27,    1011.186246
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,28,    1014.982340
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,29,    1020.079383
