dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,0,     964.792021
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,1,     965.815060
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,2,     966.327073
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,3,     972.648699
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,4,     988.270881
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,5,     968.817528
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,6,     972.195231
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,7,     970.613820
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,8,     961.606195
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,9,     962.066353
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,10,     977.140024
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,11,     979.954120
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,12,     978.794520
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,13,     968.719318
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,14,     981.749312
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,15,     968.159528
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,16,     985.596849
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,17,     974.019310
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,18,     968.403555
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,19,     978.375867
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,20,     969.782452
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,21,     962.694902
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,22,     964.023234
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,23,     969.601818
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,24,     991.901298
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,25,     966.397149
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,26,     969.230225
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,27,     982.104194
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,28,     982.222476
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,512,29,     964.929387
