dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,0,   10713.281895
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,1,   10688.718382
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,2,   10691.407147
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,3,   10682.519348
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,4,   10682.861907
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,5,   10690.430164
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,6,   10691.115830
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,7,   10699.351278
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,8,   10685.340943
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,9,   10694.383117
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,10,   10696.549622
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,11,   10672.861028
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,12,   10686.881851
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,13,   10680.822378
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,14,   10682.870512
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,15,   10691.833306
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,16,   10704.911542
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,17,   10668.716445
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,18,   10687.267264
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,19,   10681.071177
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,20,   10697.144855
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,21,   10685.511616
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,22,   10676.865567
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,23,   10698.921355
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,24,   10691.820857
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,25,   10699.984899
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,26,   10684.859757
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,27,   10687.492545
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,28,   10667.559815
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,512,29,   10661.743141
