dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,0,    1334.812703
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,1,    1367.370613
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,2,    1307.489773
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,3,    1360.296842
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,4,    1337.249448
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,5,    1384.252913
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,6,    1332.975693
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,7,    1348.914417
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,8,    1347.483029
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,9,    1381.362434
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,10,    1409.180952
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,11,    1313.130213
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,12,    1343.997711
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,13,    1378.044553
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,14,    1367.174901
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,15,    1380.179067
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,16,    1382.280340
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,17,    1372.623347
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,18,    1369.655186
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,19,    1414.265195
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,20,    1363.142515
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,21,    1340.082791
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,22,    1360.768267
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,23,    1334.973774
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,24,    1358.351273
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,25,    1391.254283
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,26,    1351.125204
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,27,    1348.936280
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,28,    1327.472108
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,512,29,    1367.499155
