dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,0,    4732.998466
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,1,    4589.456509
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,2,    4549.798655
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,3,    4585.313743
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,4,    4616.272611
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,5,    4571.728409
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,6,    4589.802609
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,7,    4612.011542
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,8,    4545.672058
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,9,    4608.430660
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,10,    4607.631677
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,11,    4583.879870
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,12,    4546.496026
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,13,    4551.339723
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,14,    4617.443298
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,15,    4617.292389
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,16,    4545.264991
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,17,    4608.312623
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,18,    4614.123139
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,19,    4608.260264
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,20,    4619.013051
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,21,    4609.127522
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,22,    4611.336092
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,23,    4544.096346
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,24,    4542.381797
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,25,    4611.696818
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,26,    4615.113459
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,27,    4611.315884
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,28,    4612.249489
3,float,uniform,PoisFFT,"P | P | P | P | D | N",2,512,29,    4610.296820
