dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,0,     755.923625
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,1,     752.986284
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,2,     753.605845
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,3,     752.383562
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,4,     752.700307
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,5,     752.470149
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,6,     753.619064
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,7,     751.766345
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,8,     752.693567
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,9,     752.427842
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,10,     753.030904
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,11,     751.737708
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,12,     753.324632
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,13,     752.515847
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,14,     752.624587
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,15,     752.434319
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,16,     752.271856
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,17,     752.376909
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,18,     751.709281
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,19,     751.797932
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,20,     753.826124
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,21,     754.681296
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,22,     751.673518
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,23,     753.658974
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,24,     752.955773
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,25,     752.116513
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,26,     752.561917
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,27,     753.059039
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,28,     753.573818
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,512,29,     752.511350
