dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,0,    1229.609859
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,1,    1146.533003
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,2,    1235.350334
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,3,    1206.012857
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,4,    1321.719443
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,5,    1336.276712
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,6,    1212.556472
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,7,    1147.562890
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,8,    1404.925086
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,9,    1386.622486
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,10,    1309.740737
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,11,    1311.761093
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,12,    1310.836208
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,13,    1314.981065
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,14,    1287.633178
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,15,    1287.609560
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,16,    1305.543300
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,17,    1167.089704
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,18,    1191.096403
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,19,    1243.328000
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,20,    1355.328434
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,21,    1328.137907
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,22,    1382.594606
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,23,    1237.823647
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,24,    1361.565030
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,25,    1451.719912
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,26,    1112.555203
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,27,    1192.053342
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,28,    1306.828653
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,512,29,    1336.111832
