dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,0,     697.099280
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,1,     718.729247
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,2,     710.011962
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,3,     707.421751
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,4,     807.059650
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,5,     717.765546
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,6,     694.138720
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,7,     683.205819
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,8,     732.966555
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,9,     732.657187
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,10,     729.590895
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,11,     708.677613
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,12,     768.033199
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,13,     696.828542
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,14,     794.009929
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,15,     699.644612
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,16,     796.333511
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,17,     788.671899
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,18,     728.411000
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,19,     725.336644
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,20,     678.419921
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,21,     683.788207
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,22,     707.525097
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,23,     694.223062
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,24,     705.404360
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,25,     695.689286
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,26,     785.726809
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,27,     717.660958
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,28,     694.764603
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,512,29,     706.467113
