dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,0,     974.682552
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,1,     961.762022
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,2,     968.495730
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,3,     962.705097
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,4,     959.617200
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,5,     960.440926
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,6,     965.933535
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,7,     964.288594
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,8,     957.454582
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,9,     966.733615
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,10,     967.908560
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,11,     964.475294
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,12,     962.562254
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,13,     965.492646
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,14,     958.518073
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,15,     964.800287
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,16,     964.272031
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,17,     959.478992
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,18,     963.585829
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,19,     961.761207
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,20,     962.661339
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,21,     962.891222
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,22,     963.500642
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,23,     965.255633
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,24,     965.350628
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,25,     962.191181
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,26,     963.409656
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,27,     964.631036
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,28,     961.139709
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,512,29,     961.895425
