dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,0,    5526.443074
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,1,    5618.973063
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,2,    5627.383731
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,3,    5422.732237
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,4,    5676.401864
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,5,    5681.511658
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,6,    5661.075751
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,7,    5658.375214
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,8,    5556.400835
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,9,    5647.176894
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,10,    5662.996964
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,11,    5671.243046
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,12,    5552.905418
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,13,    5645.173572
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,14,    5533.909510
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,15,    5642.940452
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,16,    5641.785689
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,17,    5555.931297
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,18,    5355.314217
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,19,    5659.612873
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,20,    5649.733184
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,21,    5641.214154
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,22,    5662.491628
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,23,    5642.358026
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,24,    5534.059613
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,25,    5655.519494
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,26,    5637.708654
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,27,    5666.601869
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,28,    5650.636433
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,29,    5654.904647
