dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,0,    6279.830891
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,1,    6131.491381
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,2,    6095.338715
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,3,    6102.654506
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,4,    6097.107478
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,5,    6097.195400
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,6,    6098.527555
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,7,    6095.710458
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,8,    6100.967857
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,9,    6098.326235
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,10,    6091.646828
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,11,    6093.084380
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,12,    6097.316470
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,13,    6095.339563
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,14,    6093.434982
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,15,    6093.935977
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,16,    6095.696408
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,17,    6095.414914
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,18,    6096.645836
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,19,    6099.015911
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,20,    6099.092734
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,21,    6094.162482
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,22,    6092.580743
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,23,    6089.718119
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,24,    6090.604460
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,25,    6089.680346
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,26,    6091.088885
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,27,    6090.663837
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,28,    6111.082441
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,29,    6104.552380
