dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,0,     371.188043
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,1,     360.732922
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,2,     359.021051
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,3,     358.425960
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,4,     359.522333
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,5,     359.624906
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,6,     356.704618
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,7,     358.756143
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,8,     357.670598
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,9,     360.879463
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,10,     361.535124
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,11,     358.034072
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,12,     356.646200
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,13,     358.107551
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,14,     358.301442
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,15,     357.893481
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,16,     359.657036
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,17,     358.374273
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,18,     359.552641
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,19,     360.711383
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,20,     357.605754
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,21,     357.092744
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,22,     358.502267
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,23,     359.800529
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,24,     358.366272
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,25,     356.497080
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,26,     360.294582
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,27,     359.639877
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,28,     358.370408
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,512,29,     357.580632
