dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,0,    6677.855209
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,1,    6711.241458
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,2,    6701.739492
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,3,    6700.080778
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,4,    6705.337466
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,5,    6701.669442
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,6,    6700.878310
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,7,    6700.455177
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,8,    6708.199957
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,9,    6701.713579
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,10,    6707.561180
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,11,    6701.048872
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,12,    6699.227645
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,13,    6699.737801
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,14,    6700.779049
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,15,    6700.548445
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,16,    6700.711848
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,17,    6708.980706
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,18,    6708.515294
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,19,    6724.786044
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,20,    6708.153681
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,21,    6708.039009
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,22,    6710.646120
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,23,    6709.344922
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,24,    6709.871598
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,25,    6710.623715
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,26,    6717.526807
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,27,    6709.922363
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,28,    6712.192970
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,512,29,    6710.850950
