dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,0,     371.710172
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,1,     362.132584
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,2,     360.841890
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,3,     361.864971
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,4,     364.771914
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,5,     363.898430
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,6,     362.263281
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,7,     362.356164
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,8,     362.858612
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,9,     361.792028
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,10,     363.981362
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,11,     360.040301
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,12,     361.187073
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,13,     362.564746
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,14,     360.775135
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,15,     362.062640
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,16,     362.578394
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,17,     361.954477
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,18,     362.346005
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,19,     362.361177
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,20,     362.292196
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,21,     364.599207
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,22,     363.317790
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,23,     362.504539
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,24,     362.524865
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,25,     364.635868
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,26,     361.678766
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,27,     362.155996
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,28,     362.036423
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,512,29,     361.405993
