dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,0,     366.701454
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,1,     355.769226
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,2,     357.231841
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,3,     356.991141
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,4,     361.698500
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,5,     356.769936
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,6,     353.333262
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,7,     355.948066
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,8,     354.182289
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,9,     356.488308
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,10,     354.078253
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,11,     359.021568
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,12,     356.106824
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,13,     354.968502
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,14,     356.180384
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,15,     355.573750
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,16,     356.335217
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,17,     356.293934
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,18,     355.752343
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,19,     358.503566
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,20,     355.114926
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,21,     356.877481
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,22,     357.572104
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,23,     355.775556
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,24,     355.363425
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,25,     353.451481
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,26,     358.776988
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,27,     355.527142
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,28,     358.451228
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,29,     357.579855
