dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,0,     630.986853
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,1,     605.607810
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,2,     610.617321
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,3,     606.511679
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,4,     606.295131
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,5,     606.605377
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,6,     606.831454
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,7,     608.595150
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,8,     610.455489
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,9,     607.089046
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,10,     606.596983
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,11,     608.320521
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,12,     607.378977
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,13,     610.464328
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,14,     606.918902
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,15,     607.206542
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,16,     606.818408
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,17,     605.178087
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,18,     604.870172
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,19,     607.084649
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,20,     606.419758
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,21,     608.744653
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,22,     606.681522
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,23,     606.066370
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,24,     610.698104
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,25,     603.991321
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,26,     606.067905
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,27,     610.482322
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,28,     610.843549
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,512,29,     609.052547
