dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,0,     591.819719
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,1,     596.393326
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,2,     603.270495
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,3,     599.668675
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,4,     600.497632
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,5,     594.914703
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,6,     597.732769
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,7,     597.528951
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,8,     598.664350
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,9,     596.038039
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,10,     599.691631
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,11,     587.540257
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,12,     602.257999
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,13,     599.534276
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,14,     605.229715
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,15,     600.831750
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,16,     602.040832
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,17,     605.691831
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,18,     600.835830
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,19,     601.402511
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,20,     602.199658
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,21,     599.394661
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,22,     606.085399
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,23,     600.945894
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,24,     604.268327
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,25,     606.194549
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,26,     607.012208
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,27,     621.033044
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,28,     617.439100
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,512,29,     602.541455
