dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,0,    4766.726734
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,1,    4713.333932
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,2,    4711.535883
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,3,    4705.314424
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,4,    4671.650754
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,5,    4607.093957
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,6,    4607.113535
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,7,    4604.655204
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,8,    4620.036037
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,9,    4588.889189
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,10,    4598.762028
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,11,    4593.359648
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,12,    4593.147657
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,13,    4596.049009
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,14,    4681.565913
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,15,    4591.474517
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,16,    4604.463423
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,17,    4597.643944
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,18,    4590.137349
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,19,    4600.789205
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,20,    4594.912312
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,21,    4595.150494
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,22,    4587.752544
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,23,    4601.381957
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,24,    4603.157504
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,25,    4604.608397
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,26,    4607.537015
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,27,    4612.208561
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,28,    4602.354605
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,512,29,    4599.043177
