dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,0,     757.149703
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,1,     753.998320
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,2,     754.525125
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,3,     754.957252
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,4,     757.902016
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,5,     757.349994
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,6,     756.296595
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,7,     757.167136
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,8,     754.191206
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,9,     756.196815
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,10,     756.316733
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,11,     754.045902
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,12,     755.931229
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,13,     755.817570
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,14,     756.634698
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,15,     756.353785
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,16,     756.822412
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,17,     756.526917
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,18,     756.750952
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,19,     756.709925
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,20,     756.498495
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,21,     757.336457
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,22,     756.628542
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,23,     757.009527
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,24,     754.947028
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,25,     757.124776
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,26,     756.358021
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,27,     756.092362
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,28,     757.361221
3,float,uniform,PoisFFT,"P | P | P | P | P | P",32,512,29,     757.116333
