dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,0,    3556.527154
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,1,    3470.284360
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,2,    3458.639481
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,3,    3471.453552
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,4,    3488.140765
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,5,    3461.812471
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,6,    3455.147826
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,7,    3464.805903
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,8,    3459.373078
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,9,    3456.171487
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,10,    3466.891646
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,11,    3468.717084
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,12,    3465.701751
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,13,    3456.247693
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,14,    3469.527991
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,15,    3469.407563
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,16,    3463.078221
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,17,    3464.468664
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,18,    3477.424598
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,19,    3475.145893
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,20,    3472.260217
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,21,    3461.929130
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,22,    3476.093472
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,23,    3475.683909
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,24,    3442.399665
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,25,    3478.920552
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,26,    3462.043183
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,27,    3439.394098
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,28,    3468.565547
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,29,    3467.960116
