dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,0,    1259.608261
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,1,    1286.297622
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,2,    1282.752969
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,3,    3249.595042
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,4,    1074.935972
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,5,    1069.727391
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,6,    1285.465359
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,7,    1073.484582
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,8,    1074.135746
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,9,    1072.484360
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,10,    1059.666344
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,11,    1042.450333
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,12,    1058.348315
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,13,    1029.166224
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,14,    1388.695518
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,15,    1036.593065
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,16,    1039.606659
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,17,    1038.849790
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,18,    1035.204943
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,19,    1037.733145
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,20,    1035.392100
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,21,    1030.619068
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,22,    1038.433153
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,23,    1034.273059
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,24,    1039.531752
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,25,    1025.210639
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,26,    1022.391876
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,27,    1027.830789
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,28,    1023.364196
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,512,29,    1109.682886
