dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,0,    1333.219106
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,1,    1369.409446
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,2,    1314.978421
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,3,    1330.189530
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,4,    1338.556729
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,5,    1312.408221
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,6,    1116.317528
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,7,    1358.111025
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,8,    1119.238220
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,9,    1317.478190
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,10,    1305.458205
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,11,    1312.000786
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,12,    1339.111007
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,13,    1363.929260
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,14,    1376.977705
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,15,    1298.366625
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,16,    1332.395650
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,17,    1295.494827
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,18,    1291.200498
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,19,    1318.405911
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,20,    1290.399701
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,21,    1339.032824
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,22,    1280.466570
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,23,    1321.300357
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,24,    1372.344526
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,25,    1322.021708
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,26,    1358.057090
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,27,    1310.677535
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,28,    1275.410891
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,29,    1385.041591
