dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,0,     832.069697
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,1,     787.765861
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,2,     788.290310
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,3,     791.455295
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,4,     791.286323
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,5,     791.251188
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,6,     792.182004
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,7,     790.335707
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,8,     792.959959
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,9,     792.609801
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,10,     796.986826
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,11,     793.697472
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,12,     804.927163
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,13,     795.894350
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,14,     793.759208
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,15,     791.031489
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,16,     787.166750
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,17,     791.758557
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,18,     793.492566
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,19,     793.015498
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,20,     787.978133
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,21,     792.213974
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,22,     787.996076
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,23,     793.979652
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,24,     788.281652
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,25,     789.520145
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,26,     788.338914
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,27,     793.563913
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,28,     798.580092
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,512,29,     793.815490
