dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,0,     972.997234
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,1,     903.058732
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,2,     903.961093
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,3,     901.633313
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,4,     899.280584
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,5,     899.251622
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,6,     901.142378
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,7,     899.905270
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,8,     896.368933
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,9,     900.841253
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,10,     897.702096
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,11,     894.801142
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,12,     899.222270
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,13,     900.444978
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,14,     902.761214
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,15,     903.079858
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,16,     900.353648
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,17,     898.471390
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,18,     900.343043
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,19,     897.194672
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,20,     894.868793
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,21,     893.259987
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,22,     894.396294
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,23,     900.697459
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,24,     893.396219
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,25,     893.612469
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,26,     895.220439
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,27,     892.735395
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,28,     889.533557
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,512,29,     893.677078
