dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,0,   11298.193124
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,1,   11298.028340
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,2,   11297.885914
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,3,   11306.176499
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,4,   11299.599580
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,5,   11299.628958
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,6,   11295.834513
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,7,   11300.064110
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,8,   11294.185932
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,9,   11300.261463
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,10,   11322.227526
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,11,   11318.694785
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,12,   11317.952498
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,13,   11317.543334
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,14,   11317.228688
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,15,   11321.991749
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,16,   11318.979113
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,17,   11317.907349
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,18,   11320.961467
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,19,   11324.449068
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,20,   11329.569835
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,21,   11318.891561
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,22,   11319.627792
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,23,   11318.270419
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,24,   11316.905955
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,25,   11319.798116
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,26,   11320.145991
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,27,   11321.627008
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,28,   11317.255788
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,512,29,   11322.489149
