dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,0,     610.628746
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,1,     615.467138
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,2,     592.596221
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,3,     586.926908
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,4,     596.080973
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,5,     596.969098
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,6,     605.788055
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,7,     596.488535
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,8,     584.672101
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,9,     649.558616
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,10,     588.041377
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,11,     605.443563
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,12,     585.839784
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,13,     599.365263
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,14,     622.670600
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,15,     586.949564
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,16,     624.878476
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,17,     676.277340
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,18,     619.971444
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,19,     598.075828
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,20,     602.415276
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,21,     644.079554
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,22,     598.191843
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,23,     589.680384
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,24,     596.540273
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,25,     597.648431
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,26,     588.057591
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,27,     632.280278
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,28,     619.596429
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,512,29,     587.911513
