dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,0,   12732.685281
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,1,   12768.323092
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,2,   12611.873244
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,3,   12785.868639
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,4,   12561.913186
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,5,   12533.256195
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,6,   12589.086408
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,7,   12613.324865
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,8,   12885.429680
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,9,   12910.872997
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,10,   12918.350672
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,11,   12906.319345
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,12,   12923.272581
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,13,   12919.989405
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,14,   12885.226458
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,15,   12888.519908
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,16,   12886.026395
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,17,   12896.421837
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,18,   12894.945618
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,19,   12905.647215
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,20,   12877.589848
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,21,   12902.788326
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,22,   12887.483061
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,23,   12899.470882
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,24,   12899.304188
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,25,   12900.247437
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,26,   12881.978160
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,27,   12899.742670
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,28,   12876.486833
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,512,29,   12902.172941
