dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,0,    1329.216786
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,1,    1378.923949
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,2,    1411.062942
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,3,    1468.086549
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,4,    1383.310067
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,5,    1395.289873
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,6,    1397.879483
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,7,    1179.990710
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,8,    1158.873219
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,9,    1289.931418
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,10,    1243.632797
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,11,    1349.320066
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,12,    1228.336910
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,13,    1252.068024
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,14,    1235.274389
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,15,    1277.754032
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,16,    1260.903672
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,17,    1179.898493
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,18,    1135.269353
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,19,    1206.368116
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,20,    1236.986503
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,21,    1277.896279
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,22,    1153.158241
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,23,    1174.124637
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,24,    1171.078945
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,25,    1253.591585
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,26,    1157.389511
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,27,    1304.282295
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,28,    1211.949810
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,29,    1245.938882
