dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,0,    5115.616414
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,1,    5063.354256
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,2,    5080.934976
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,3,    5076.958233
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,4,    5078.722555
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,5,    5065.653010
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,6,    5079.125352
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,7,    5075.930739
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,8,    5081.664300
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,9,    5073.779639
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,10,    5071.221993
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,11,    5063.230847
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,12,    5063.422259
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,13,    5069.757127
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,14,    5069.125825
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,15,    5074.418109
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,16,    5075.675386
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,17,    5070.974424
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,18,    5070.715453
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,19,    5066.318572
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,20,    5061.114071
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,21,    5073.577019
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,22,    5080.255615
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,23,    5061.509960
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,24,    5071.151420
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,25,    5066.845730
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,26,    5064.607315
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,27,    5068.163747
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,28,    5076.834578
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,512,29,    5073.469149
