dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,0,     909.496227
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,1,     908.053518
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,2,     905.444241
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,3,     902.846299
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,4,     906.439890
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,5,     900.762734
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,6,     903.573167
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,7,     897.465397
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,8,     897.271100
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,9,     902.337167
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,10,     898.775881
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,11,     902.151350
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,12,     898.965065
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,13,     903.624128
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,14,     898.899222
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,15,     905.246126
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,16,     905.753664
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,17,     903.644535
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,18,     901.484417
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,19,     901.270071
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,20,     904.365180
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,21,     907.303815
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,22,     903.133462
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,23,     900.134129
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,24,     899.187628
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,25,     903.240201
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,26,     904.730890
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,27,     898.707218
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,28,     905.158466
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,512,29,     898.137850
