dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,0,    2910.927245
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,1,    2908.823373
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,2,    2913.213998
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,3,    2909.096452
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,4,    2909.570150
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,5,    2909.346563
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,6,    2909.279339
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,7,    2909.523635
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,8,    2909.503441
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,9,    2908.434786
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,10,    2910.369635
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,11,    2908.033887
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,12,    2908.382809
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,13,    2910.096472
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,14,    2910.620865
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,15,    2908.514839
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,16,    2908.016350
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,17,    2908.896416
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,18,    2908.552476
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,19,    2909.067332
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,20,    2908.506544
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,21,    2908.935012
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,22,    2908.059210
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,23,    2908.734981
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,24,    2908.201326
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,25,    2909.795151
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,26,    2908.208468
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,27,    2909.106792
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,28,    2907.559544
3,float,uniform,PoisFFT,"D | D | D | D | N | D",8,512,29,    2906.996654
