dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,0,     647.880271
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,1,     631.347560
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,2,     639.156335
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,3,     632.025199
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,4,     632.357148
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,5,     634.446210
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,6,     635.067253
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,7,     634.475987
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,8,     631.740387
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,9,     630.616665
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,10,     632.155491
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,11,     629.854652
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,12,     633.526778
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,13,     631.160402
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,14,     635.488755
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,15,     632.830177
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,16,     627.882889
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,17,     629.451852
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,18,     628.634000
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,19,     630.031885
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,20,     631.931718
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,21,     631.979799
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,22,     630.538376
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,23,     632.396701
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,24,     632.680808
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,25,     631.820486
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,26,     630.151468
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,27,     631.152252
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,28,     632.080739
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,29,     632.716914
