dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,0,    4602.790761
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,1,    4522.984356
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,2,    4519.386546
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,3,    4523.724392
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,4,    4514.410177
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,5,    4520.128707
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,6,    4520.848784
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,7,    4523.951530
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,8,    4522.929814
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,9,    4520.547520
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,10,    4521.926381
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,11,    4523.901232
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,12,    4522.214620
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,13,    4523.773394
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,14,    4522.651306
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,15,    4524.888043
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,16,    4523.143787
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,17,    4522.029817
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,18,    4523.391447
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,19,    4522.781339
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,20,    4583.452019
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,21,    4593.646929
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,22,    4559.167619
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,23,    4535.972510
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,24,    4526.582182
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,25,    4521.566106
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,26,    4522.928991
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,27,    4522.705461
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,28,    4519.470821
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,512,29,    4515.702229
