dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,0,     916.095584
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,1,     900.374647
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,2,     777.761893
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,3,     867.922383
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,4,     898.010043
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,5,     919.978900
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,6,     844.247105
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,7,     809.998858
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,8,     765.956826
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,9,     705.512996
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,10,     801.321215
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,11,     728.633559
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,12,     924.053201
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,13,     817.100441
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,14,     700.436406
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,15,     701.600522
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,16,     742.296146
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,17,     726.165584
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,18,     674.366053
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,19,     693.757231
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,20,     768.806278
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,21,     675.993468
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,22,     774.648350
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,23,     698.634073
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,24,     690.552228
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,25,     827.868560
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,26,     688.726244
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,27,     703.480095
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,28,     703.322660
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,512,29,     621.786077
