dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,0,     643.686938
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,1,     627.273328
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,2,     633.936414
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,3,     628.620044
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,4,     625.968825
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,5,     626.214849
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,6,     630.001559
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,7,     627.848322
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,8,     628.478838
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,9,     627.662717
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,10,     628.126669
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,11,     627.716129
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,12,     632.564399
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,13,     630.572231
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,14,     630.606205
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,15,     630.250514
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,16,     626.270705
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,17,     630.114717
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,18,     627.859875
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,19,     628.339207
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,20,     630.262619
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,21,     631.700990
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,22,     628.977775
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,23,     631.334973
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,24,     631.126683
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,25,     629.000663
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,26,     635.020660
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,27,     631.754922
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,28,     625.935744
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,29,     629.451222
