dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,0,   11489.562317
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,1,   11503.153013
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,2,   11500.987472
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,3,   11492.711259
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,4,   11501.577853
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,5,   11490.401253
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,6,   11492.314064
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,7,   11490.977201
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,8,   11491.089985
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,9,   11496.866645
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,10,   11497.851573
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,11,   11497.895456
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,12,   11492.381637
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,13,   11495.128621
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,14,   11500.994157
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,15,   11493.481998
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,16,   11496.059717
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,17,   11494.293009
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,18,   11492.297524
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,19,   11491.915333
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,20,   11497.133790
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,21,   11491.938444
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,22,   11491.310700
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,23,   11494.530295
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,24,   11494.883616
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,25,   11494.299611
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,26,   11494.677216
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,27,   11493.087029
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,28,   11496.622461
3,double,uniform,PoisFFT,"P | P | P | P | D | N",1,512,29,   11493.734047
