dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,0,    8934.172739
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,1,    8937.874686
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,2,    8931.702025
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,3,    8933.695172
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,4,    8931.898052
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,5,    8932.530771
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,6,    8928.939772
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,7,    8929.346825
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,8,    8930.221832
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,9,    8930.757521
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,10,    8934.143292
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,11,    8928.849746
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,12,    8944.745885
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,13,    8936.582636
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,14,    8933.320990
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,15,    8929.358463
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,16,    8930.571042
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,17,    8930.885872
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,18,    8930.206613
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,19,    8928.370847
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,20,    8925.618308
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,21,    8929.998595
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,22,    8928.647966
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,23,    8935.580981
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,24,    8929.840583
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,25,    8928.708799
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,26,    8931.096120
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,27,    8926.899781
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,28,    8929.902131
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,512,29,    8932.068221
