dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,0,     577.740052
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,1,     565.550092
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,2,     565.971020
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,3,     587.161271
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,4,     606.923860
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,5,     720.956628
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,6,     613.435385
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,7,     643.744704
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,8,     639.328977
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,9,     653.808399
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,10,     644.542288
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,11,     672.129120
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,12,     640.095505
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,13,     633.917887
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,14,     641.881031
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,15,     639.565187
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,16,     653.129661
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,17,     687.782574
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,18,     638.854932
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,19,     643.684919
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,20,     640.279875
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,21,     644.090592
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,22,     663.644276
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,23,     638.584897
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,24,     649.918604
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,25,     637.833331
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,26,     634.342300
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,27,     671.805183
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,28,     678.351075
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,512,29,     662.683608
