dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,0,    2867.703831
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,1,    2831.988800
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,2,    2952.157927
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,3,    2979.298715
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,4,    2925.288818
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,5,    2912.812676
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,6,    2884.303767
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,7,    2937.796189
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,8,    2910.675533
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,9,    2875.985226
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,10,    2956.611864
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,11,    2925.092995
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,12,    2910.712234
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,13,    2919.770206
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,14,    2881.690226
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,15,    2888.426090
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,16,    2926.038282
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,17,    2886.203575
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,18,    2868.977851
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,19,    2869.337268
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,20,    2890.622250
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,21,    2862.431233
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,22,    2896.998987
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,23,    2877.697528
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,24,    2951.506953
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,25,    2925.693665
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,26,    2932.225270
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,27,    2930.162554
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,28,    2877.619293
3,double,uniform,PoisFFT,"P | P | P | P | P | P",48,512,29,    2930.431240
