dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,0,    9521.071732
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,1,    9527.961912
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,2,    9523.913121
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,3,    9522.278876
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,4,    9525.047415
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,5,    9523.062161
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,6,    9527.430834
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,7,    9526.500535
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,8,    9524.641761
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,9,    9522.244659
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,10,    9526.173540
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,11,    9523.532727
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,12,    9521.639953
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,13,    9527.581348
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,14,    9523.913964
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,15,    9523.310946
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,16,    9522.970750
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,17,    9524.670594
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,18,    9520.140287
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,19,    9520.312214
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,20,    9522.089957
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,21,    9521.845017
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,22,    9526.036513
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,23,    9522.005791
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,24,    9525.009243
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,25,    9522.537906
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,26,    9523.627155
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,27,    9520.394368
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,28,    9519.318988
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,512,29,    9522.869155
