dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,0,     948.129666
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,1,     943.362659
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,2,     940.881294
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,3,     944.309775
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,4,     941.798927
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,5,     942.984605
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,6,     941.997775
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,7,     941.496867
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,8,     941.932699
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,9,     943.137464
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,10,     940.607646
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,11,     941.630318
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,12,     942.033613
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,13,     942.084871
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,14,     942.842858
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,15,     943.902816
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,16,     942.328757
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,17,     942.615610
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,18,     941.792987
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,19,     941.849808
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,20,     941.752661
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,21,     941.406272
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,22,     942.118984
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,23,     942.899476
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,24,     942.897918
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,25,     942.200207
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,26,     942.817891
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,27,     941.553302
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,28,     941.961081
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,512,29,     942.706590
