dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,0,    5303.447632
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,1,    5161.113429
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,2,    5169.342016
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,3,    5156.810775
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,4,    5161.726753
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,5,    5152.737429
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,6,    5152.276506
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,7,    5156.783207
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,8,    5146.903364
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,9,    5147.048016
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,10,    5148.314331
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,11,    5148.790005
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,12,    5147.148654
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,13,    5142.441592
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,14,    5148.341636
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,15,    5145.211422
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,16,    5150.019168
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,17,    5143.594006
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,18,    5140.581908
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,19,    5140.666738
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,20,    5143.506535
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,21,    5143.134936
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,22,    5156.842578
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,23,    5155.404598
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,24,    5155.236194
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,25,    5159.244159
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,26,    5158.631445
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,27,    5157.594712
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,28,    5152.918305
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,29,    5157.652515
