dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,0,   23324.066302
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,1,   23314.929456
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,2,   23312.745034
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,3,   23314.409075
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,4,   23315.058366
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,5,   23314.798869
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,6,   23309.750976
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,7,   23309.162620
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,8,   23310.931719
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,9,   23312.491259
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,10,   23312.156420
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,11,   23313.039687
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,12,   23310.049848
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,13,   23309.878272
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,14,   23318.543268
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,15,   23314.702098
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,16,   23311.148713
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,17,   23310.639875
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,18,   23313.510455
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,19,   23315.897288
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,20,   23316.223310
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,21,   23313.705506
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,22,   23311.349052
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,23,   23316.235715
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,24,   23319.023764
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,25,   23313.135288
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,26,   23312.009474
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,27,   23313.124683
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,28,   23312.651411
3,double,uniform,PoisFFT,"D | D | D | D | D | D",1,512,29,   23312.182167
