dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,0,     633.416310
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,1,     605.637377
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,2,     611.047874
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,3,     607.893933
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,4,     609.328929
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,5,     607.507633
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,6,     609.473102
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,7,     608.598226
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,8,     607.247511
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,9,     605.848467
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,10,     608.511396
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,11,     606.708615
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,12,     610.939634
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,13,     611.134903
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,14,     613.372013
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,15,     607.047925
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,16,     610.672788
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,17,     607.324105
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,18,     607.597298
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,19,     609.656405
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,20,     608.166970
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,21,     610.924442
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,22,     609.009114
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,23,     610.129536
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,24,     606.873717
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,25,     607.371690
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,26,     606.824095
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,27,     612.508097
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,28,     608.028729
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,29,     608.551850
