dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,0,    1228.534197
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,1,    1218.741365
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,2,    1219.575840
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,3,    1221.744743
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,4,    1219.541884
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,5,    1219.155158
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,6,    1218.945347
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,7,    1217.972389
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,8,    1219.036318
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,9,    1219.808455
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,10,    1222.278723
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,11,    1220.996313
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,12,    1220.089422
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,13,    1219.233660
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,14,    1221.979254
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,15,    1219.394874
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,16,    1219.678823
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,17,    1221.556069
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,18,    1217.929061
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,19,    1217.764776
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,20,    1218.784592
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,21,    1218.010665
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,22,    1218.602060
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,23,    1219.478883
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,24,    1218.112377
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,25,    1218.263049
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,26,    1221.999664
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,27,    1218.297284
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,28,    1220.514973
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,29,    1219.621499
