dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,0,     644.772042
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,1,     629.868685
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,2,     633.996613
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,3,     624.874294
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,4,     628.361870
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,5,     628.249773
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,6,     631.951776
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,7,     624.421004
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,8,     630.300033
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,9,     629.525796
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,10,     630.497615
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,11,     625.609272
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,12,     627.573873
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,13,     629.964375
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,14,     628.496500
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,15,     629.334588
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,16,     631.126902
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,17,     628.405109
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,18,     627.089252
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,19,     629.314084
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,20,     627.289663
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,21,     625.482507
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,22,     627.023340
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,23,     629.597275
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,24,     623.428343
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,25,     629.852420
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,26,     627.340977
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,27,     631.154873
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,28,     631.362326
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,512,29,     631.586281
