dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,0,     368.758922
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,1,     359.078398
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,2,     353.398979
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,3,     356.875949
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,4,     357.507355
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,5,     357.676206
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,6,     358.706528
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,7,     352.350939
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,8,     354.799940
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,9,     355.185201
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,10,     357.643783
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,11,     357.090497
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,12,     356.818143
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,13,     354.140364
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,14,     353.847275
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,15,     356.035912
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,16,     359.051660
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,17,     359.768474
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,18,     357.031868
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,19,     358.592638
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,20,     354.491504
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,21,     356.824095
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,22,     356.170868
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,23,     355.129412
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,24,     356.105010
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,25,     357.489963
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,26,     354.839937
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,27,     354.598105
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,28,     355.677026
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,512,29,     358.090881
